year,cds,ccode,cdcode,scode,rtype,sname,dname,cname,charter_school_(y/n),percent (%)_eligible frpm_(k-12),enroll12,numtsttakr12,numerwbenchmark12,pcterwbenchmark12,nummathbenchmark12,pctmathbenchmark12,totnumbothbenchmark12,pctbothbenchmark12,enroll11,numtsttakr11,numerwbenchmark11,pcterwbenchmark11,nummathbenchmark11,pctmathbenchmark11,totnumbothbenchmark11,pctbothbenchmark11
2018-19,1.96473E+13,19,1964733,1934371,S,Thomas Jefferson Senior High,Los Angeles Unified,Los Angeles,No,0.936335404,116,68,16,23.53,7,10.29,6,8.82,163,131,26,19.85,12,9.16,9,6.87
2018-19,1.96473E+13,19,1964733,1930866,S,Bell Senior High,Los Angeles Unified,Los Angeles,No,0.919832985,575,318,164,51.57,82,25.79,75,23.58,554,543,228,41.99,123,22.65,113,20.81
2018-19,1.96473E+13,19,1964733,1931468,S,Metropolitan Continuation,Los Angeles Unified,Los Angeles,No,0.948275862,17,4,,,,,,,13,19,3,15.79,0,0,0,0
2018-19,1.96473E+13,19,1964733,1931682,S,Zane Grey Continuation,Los Angeles Unified,Los Angeles,No,0.919191919,25,2,,,,,,,26,8,,,,,,
2018-19,1.96473E+13,19,1964733,1936160,S,Nathaniel Narbonne Senior High,Los Angeles Unified,Los Angeles,No,0.758272059,543,223,115,51.57,74,33.18,69,30.94,514,434,177,40.78,104,23.96,92,21.2
2018-19,1.96473E+13,19,1964733,1936350,S,North Hollywood Senior High,Los Angeles Unified,Los Angeles,No,0.712133228,573,242,161,66.53,99,40.91,91,37.6,545,533,309,57.97,194,36.4,186,34.9
2018-19,1.96473E+13,19,1964733,1938554,S,Sylmar Charter High,Los Angeles Unified,Los Angeles,Yes,0.835051546,361,182,89,48.9,53,29.12,45,24.73,352,317,129,40.69,69,21.77,60,18.93
2018-19,1.96473E+13,19,1964733,106849,S,Animo Pat Brown,Los Angeles Unified,Los Angeles,Yes,0.963333333,131,103,44,42.72,23,22.33,19,18.45,140,101,41,40.59,24,23.76,20,19.8
2018-19,1.96473E+13,19,1964733,107011,S,International Studies Learning Center at Legacy High School Complex,Los Angeles Unified,Los Angeles,No,0.642607683,84,61,40,65.57,23,37.7,21,34.43,94,91,57,62.64,35,38.46,30,32.97
2018-19,1.96473E+13,19,1964733,132084,S,Alliance Marine - Innovation and Technology 6-12 Complex,Los Angeles Unified,Los Angeles,Yes,0.882673943,0,1,,,,,,,51,50,25,50,14,28,10,20
2018-19,1.96473E+13,19,1964733,127894,S,Valor Academy High,Los Angeles Unified,Los Angeles,Yes,0.92,122,45,15,33.33,9,20,7,15.56,122,19,11,57.89,7,36.84,6,31.58
2018-19,1.96473E+13,19,1964733,124388,S,Cesar E. Chavez Learning Academies-Social Justice Humanitas Academy,Los Angeles Unified,Los Angeles,No,0.913627639,96,67,22,32.84,14,20.9,11,16.42,132,133,57,42.86,17,12.78,14,10.53
2018-19,1.96473E+13,19,1964733,124891,S,Alliance Renee and Meyer Luskin Academy High,Los Angeles Unified,Los Angeles,Yes,0.923371648,131,127,44,34.65,20,15.75,15,11.81,124,115,34,29.57,24,20.87,21,18.26
2018-19,1.96473E+13,19,1964733,124933,S,PUC Early College Academy for Leaders and Scholars (ECALS),Los Angeles Unified,Los Angeles,Yes,0.668587896,81,37,17,45.95,11,29.73,11,29.73,100,68,31,45.59,21,30.88,17,25
