year,cds,ccode,cdcode,scode,rtype,dname,cname,sname,charter_school_(y/n),percent (%)_eligible frpm_(k-12),enroll12,numtsttakr,avgscrread,avgscreng,avgscrmath,avgscrsci,numge21,pctge21
2018-19,19647336116750.0,19.0,1964733.0,6116750.0,S,Los Angeles Unified,Los Angeles,PUC Community Charter Middle and PUC Community Charter Early College High,Yes,0.7309644670050761,89.0,83.0,17,16,18,18,20,24.1
2018-19,19647330124933.0,19.0,1964733.0,124933.0,S,Los Angeles Unified,Los Angeles,PUC Early College Academy for Leaders and Scholars (ECALS),Yes,0.6685878962536023,81.0,68.0,15,15,17,17,10,14.71
2018-19,19647330122606.0,19.0,1964733.0,122606.0,S,Los Angeles Unified,Los Angeles,PUC Lakeview Charter High,Yes,0.7986870897155361,100.0,93.0,18,17,18,17,22,23.66
2018-19,19647330133280.0,19.0,1964733.0,133280.0,S,Los Angeles Unified,Los Angeles,PUC Nueva Esperanza Charter Academy,Yes,0.7262569832402235,0.0,22.0,16,15,17,16,1,4.55
2018-19,19647330133272.0,19.0,1964733.0,133272.0,S,Los Angeles Unified,Los Angeles,PUC Triumph Charter Academy and PUC Triumph Charter High,Yes,0.6827757125154895,116.0,89.0,16,15,17,17,10,11.24
2018-19,19647330119727.0,19.0,1964733.0,119727.0,S,Los Angeles Unified,Los Angeles,Ramon C. Cortines School of Visual and Performing Arts,No,0.7165032679738562,342.0,48.0,21,21,19,20,23,47.92
2018-19,19647330124529.0,19.0,1964733.0,124529.0,S,Los Angeles Unified,Los Angeles,Rancho Dominguez Preparatory,No,0.7921279212792128,129.0,43.0,16,15,17,17,1,2.33
2018-19,19647330101683.0,19.0,1964733.0,101683.0,S,Los Angeles Unified,Los Angeles,Renaissance Arts Academy,Yes,0.6191335740072202,44.0,40.0,23,24,20,21,21,52.5
2018-19,19647331937226.0,19.0,1964733.0,1937226.0,S,Los Angeles Unified,Los Angeles,Reseda Charter High,Yes,0.828928046989721,349.0,18.0,20,20,20,21,7,38.89
2018-19,19647331937622.0,19.0,1964733.0,1937622.0,S,Los Angeles Unified,Los Angeles,San Fernando Senior High,No,0.8884615384615384,458.0,75.0,18,17,18,18,16,21.33
2018-19,19647331937838.0,19.0,1964733.0,1937838.0,S,Los Angeles Unified,Los Angeles,San Pedro Senior High,No,0.6396997497914929,480.0,49.0,21,20,20,20,23,46.94
2018-19,19647330109447.0,19.0,1964733.0,109447.0,S,Los Angeles Unified,Los Angeles,Santee Education Complex,No,0.9395373291272345,384.0,24.0,18,16,17,17,3,12.5
2018-19,19647330126540.0,19.0,1964733.0,126540.0,S,Los Angeles Unified,Los Angeles,Science Technology Engineering Arts and Mathematics at Legacy High School Complex,No,0.8947368421052632,138.0,46.0,19,18,19,18,13,28.26
2018-19,19647331933233.0,19.0,1964733.0,1933233.0,S,Los Angeles Unified,Los Angeles,Sherman Oaks Center for Enriched Studies,No,0.5529468136080499,232.0,47.0,25,25,23,24,31,65.96
2018-19,19647330109454.0,19.0,1964733.0,109454.0,S,Los Angeles Unified,Los Angeles,South East High,No,0.9117647058823529,368.0,152.0,19,18,17,18,43,28.29
2018-19,19647331938307.0,19.0,1964733.0,1938307.0,S,Los Angeles Unified,Los Angeles,South Gate Senior High,No,0.8883873615100534,528.0,224.0,18,17,17,18,52,23.21
2018-19,19647330125989.0,19.0,1964733.0,125989.0,S,Los Angeles Unified,Los Angeles,STEM Academy at Bernstein High,No,0.9765765765765766,124.0,44.0,19,19,18,19,15,34.09
2018-19,19647336061600.0,19.0,1964733.0,6061600.0,S,Los Angeles Unified,Los Angeles,Sun Valley Magnet,No,0.9166666666666666,71.0,29.0,18,17,19,19,7,24.14
2018-19,19647331932383.0,19.0,1964733.0,1932383.0,S,Los Angeles Unified,Los Angeles,Susan Miller Dorsey Senior High,No,0.7612107623318386,230.0,48.0,16,15,16,15,4,8.33
2018-19,19647331938554.0,19.0,1964733.0,1938554.0,S,Los Angeles Unified,Los Angeles,Sylmar Charter High,Yes,0.8350515463917526,361.0,45.0,20,18,19,19,15,33.33
